2017/06/12 21:58:33 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: Loading user properties from: /Users/vijayakumar.eswaran/.jenkins/jobs/jMeter/workspace/jMeterCI/target/jmeter/bin/user.properties 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: Loading system properties from: /Users/vijayakumar.eswaran/.jenkins/jobs/jMeter/workspace/jMeterCI/target/jmeter/bin/system.properties 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: Version 2.13 r1665067 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: java.version=1.8.0_131 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: os.name=Mac OS X 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: os.arch=x86_64 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: os.version=10.11.6 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: JMeterHome=/Users/vijayakumar.eswaran/.jenkins/jobs/jMeter/workspace/jMeterCI/target/jmeter 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: user.dir  =/Users/vijayakumar.eswaran/.jenkins/jobs/jMeter/workspace/jMeterCI/target/jmeter/bin 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: PWD       =/Users/vijayakumar.eswaran/.jenkins/jobs/jMeter/workspace/jMeterCI/target/jmeter/bin 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: IP: 192.168.1.4 Name: India-VEswaran.local FullName: 192.168.1.4 
2017/06/12 21:58:34 INFO  - jmeter.services.FileServer: Default base='/Users/vijayakumar.eswaran/.jenkins/jobs/jMeter/workspace/jMeterCI/target/jmeter/bin' 
2017/06/12 21:58:34 INFO  - jmeter.services.FileServer: Set new base='/Users/vijayakumar.eswaran/.jenkins/jobs/jMeter/workspace/jMeterCI/src/test/jmeter' 
2017/06/12 21:58:34 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2017/06/12 21:58:34 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2017/06/12 21:58:34 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
2017/06/12 21:58:34 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.8 
2017/06/12 21:58:34 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2017/06/12 21:58:34 INFO  - jmeter.save.SaveService: Loading file: /Users/vijayakumar.eswaran/.jenkins/jobs/jMeter/workspace/jMeterCI/src/test/jmeter/careBasic.jmx 
2017/06/12 21:58:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2017/06/12 21:58:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2017/06/12 21:58:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2017/06/12 21:58:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2017/06/12 21:58:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2017/06/12 21:58:34 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: Creating summariser <summary> 
2017/06/12 21:58:34 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2017/06/12 21:58:34 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2017/06/12 21:58:34 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/06/12 21:58:34 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/06/12 21:58:34 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/06/12 21:58:34 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/06/12 21:58:34 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/06/12 21:58:34 INFO  - jmeter.JMeter: Running test (1497284914982) 
2017/06/12 21:58:35 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2017/06/12 21:58:35 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Thread Group. 
2017/06/12 21:58:35 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/06/12 21:58:35 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2017/06/12 21:58:35 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
